167,03-13T19:05:52,03-16T17:23:35,1
168,03-16T18:10:32,03-18T22:06:50,1
169,03-16T18:12:02,03-16T18:24:22,0
173,03-16T20:01:50,03-20T00:33:26,1
174,03-16T20:13:23,03-18T22:49:58,1
176,03-16T20:25:00,03-16T22:39:10,1
177,03-16T20:35:52,03-20T00:01:22,1
178,03-16T22:51:13,03-20T00:52:13,1
179,03-16T23:01:43,03-17T15:05:20,1
180,03-16T23:02:11,03-17T15:04:29,1
181,03-16T23:03:15,03-17T15:11:29,3
182,03-16T23:08:29,03-17T16:04:22,3
183,03-16T23:12:46,03-17T15:12:03,3
185,03-17T15:41:11,03-17T16:04:48,1
187,03-18T22:06:50,03-19T13:21:25,1
188,03-18T22:19:52,03-19T03:59:24,1
189,03-19T03:46:28,03-30T17:24:06,20
190,03-19T04:26:57,03-19T04:45:32,0
191,03-19T04:45:59,03-20T01:34:58,0
192,03-19T13:15:26,03-19T13:20:15,0
193,03-19T13:18:43,03-19T13:37:11,1
194,03-20T00:41:24,03-20T00:48:07,1
195,03-20T00:58:01,03-20T01:02:24,0
196,03-20T18:28:13,03-20T18:40:29,1
197,03-21T06:44:40,03-22T04:55:00,2
198,03-22T19:34:28,03-23T00:19:32,5
199,03-22T20:30:49,03-22T20:37:37,1
200,03-22T20:34:28,03-22T20:36:10,1
201,03-22T20:49:01,03-23T15:30:19,0
203,03-23T00:47:17,03-23T03:25:30,4
204,03-23T00:52:20,03-23T03:37:19,2
205,03-23T00:56:54,03-23T02:18:38,2
206,03-23T01:56:01,03-23T03:57:31,4
208,03-23T04:16:41,03-24T01:53:55,7
209,03-23T04:43:58,03-23T23:01:37,7
211,03-23T19:07:06,03-23T19:11:20,0
212,03-23T23:13:27,03-25T22:13:16,0
220,03-24T00:27:53,03-24T00:53:24,0
224,03-25T16:42:14,03-25T20:31:30,3
226,03-25T20:47:05,03-25T22:12:55,5
227,03-25T22:27:03,03-28T05:46:02,15
228,03-25T23:44:57,03-26T03:41:16,3
229,03-26T03:12:30,03-26T03:20:55,0
230,03-26T04:21:51,03-30T17:24:56,1
231,03-26T04:28:49,03-26T04:41:06,0
234,03-26T20:49:28,03-26T21:10:51,1
236,03-26T21:17:21,03-26T21:20:40,0
237,03-27T04:14:45,03-30T20:43:53,8
238,03-28T22:31:03,03-30T00:32:47,0
239,03-29T01:23:58,03-30T02:27:40,1
242,03-30T15:15:53,03-30T16:08:41,1
243,03-30T17:29:17,03-30T20:15:20,2
244,03-30T20:23:13,03-30T20:33:22,0
246,03-30T20:45:32,03-30T20:49:21,0
247,03-30T20:51:13,03-30T21:15:43,4
248,03-30T21:04:19,03-30T21:04:53,0
249,03-30T21:38:52,04-10T15:32:04,20
250,03-30T21:57:30,03-30T22:10:04,0
251,03-30T21:57:47,03-30T22:09:23,0
252,03-31T15:11:10,03-31T15:49:33,0
253,03-31T15:11:13,03-31T16:29:17,0
254,03-31T15:11:17,03-31T15:39:25,0
255,03-31T15:11:20,03-31T16:19:12,0
256,03-31T15:11:23,03-31T16:50:35,0
257,03-31T15:11:25,03-31T15:46:52,0
260,03-31T18:00:12,03-31T19:32:04,3
261,03-31T18:30:26,03-31T18:51:00,0
262,03-31T19:58:22,04-01T13:57:08,2
263,03-31T20:00:37,04-01T22:03:01,4
264,03-31T20:00:39,03-31T20:05:29,0
265,03-31T20:11:12,03-31T20:12:41,0
266,03-31T20:25:12,04-01T03:16:26,2
267,04-02T18:52:43,04-02T18:56:29,0
268,04-03T15:25:48,04-03T15:40:18,0
271,04-03T19:21:06,04-03T19:29:53,0
272,04-03T19:21:12,04-03T19:30:49,0
273,04-03T19:21:18,04-05T01:19:18,0
274,04-03T19:21:23,04-05T01:20:14,0
275,04-03T19:21:28,04-05T01:25:10,0
276,04-03T19:21:34,04-05T01:26:42,2
277,04-05T01:25:29,04-05T01:47:01,0
278,04-05T01:30:53,04-10T16:21:44,3
279,04-05T01:36:22,04-05T01:38:04,0
280,04-05T01:41:51,04-05T01:48:21,0
281,04-05T01:49:02,04-05T02:00:57,0
284,04-07T23:51:03,04-08T00:07:13,0
285,04-08T16:00:41,04-08T16:12:16,0
286,04-08T23:45:01,04-10T15:31:32,0
287,04-10T15:58:43,04-11T20:54:11,5
288,04-10T16:02:05,04-10T16:02:34,0
289,04-10T16:02:48,04-12T02:27:18,0
290,04-10T16:02:59,04-11T05:05:49,1
291,04-10T16:03:09,04-10T16:21:25,0
292,04-10T16:03:25,04-10T16:21:07,0
293,04-10T16:03:57,04-10T16:04:44,0
294,04-10T16:04:52,04-10T16:20:19,0
295,04-10T16:04:58,04-10T16:19:43,0
296,04-10T16:05:30,04-10T16:18:57,0
299,04-10T21:48:04,04-11T04:45:53,4
300,04-11T05:25:07,04-11T15:57:35,1
301,04-11T05:41:14,04-11T05:41:41,0
302,04-11T17:30:49,04-11T20:44:36,0
303,04-11T23:21:50,04-11T23:22:00,0
304,04-13T04:46:54,04-14T00:44:49,0
305,04-13T04:47:04,04-14T00:45:31,0
306,04-13T04:47:12,04-14T00:44:24,0
308,04-14T00:37:28,04-14T00:42:16,0
309,04-14T00:45:52,04-15T21:01:06,3
312,04-14T16:29:52,04-14T16:48:33,2
315,04-15T21:18:19,04-15T21:18:34,0
316,04-16T13:07:45,04-17T16:42:12,1
317,04-16T14:07:50,04-16T17:27:39,0
318,04-17T16:42:28,04-18T10:36:24,8
320,04-17T18:51:35,04-18T05:17:59,4
321,04-17T19:02:45,04-18T14:54:52,2
322,04-17T21:00:23,04-17T21:04:36,0
339,04-18T05:31:22,04-18T05:36:49,0
340,04-18T05:59:08,04-18T06:07:13,0
341,04-18T05:59:40,04-18T06:08:03,0
342,04-18T06:01:41,04-19T22:44:19,8
343,04-18T06:02:36,04-18T06:08:25,0
344,04-18T06:02:45,04-18T06:07:31,0
345,04-18T10:53:53,04-18T10:54:31,1
346,04-18T10:55:09,04-18T11:12:27,0
347,04-18T11:00:31,04-18T11:17:13,0
348,04-18T11:07:43,04-20T01:30:54,9
349,04-18T11:37:09,04-18T15:21:49,0
351,04-18T14:42:52,04-18T15:07:32,2
355,04-18T16:12:53,04-20T01:55:05,2
356,04-19T15:31:19,04-19T22:36:44,1
357,04-19T22:45:30,04-20T13:02:01,11
358,04-20T01:33:32,04-20T01:53:52,0
359,04-20T01:34:33,04-20T01:35:26,0
360,04-20T01:58:15,04-20T11:52:01,2
361,04-20T04:24:57,04-20T14:13:58,0
362,04-20T04:25:08,04-20T11:52:24,0
363,04-20T04:25:16,04-20T11:48:59,0
364,04-20T12:40:33,04-20T12:41:41,0
365,04-20T12:54:48,04-20T13:01:51,0
366,04-20T12:55:14,04-20T14:27:03,2
367,04-20T14:10:50,04-20T14:19:34,0
368,04-20T14:29:59,04-23T13:38:26,21
369,04-20T14:54:22,04-20T15:00:43,0
370,04-20T15:01:01,04-20T15:22:12,0
371,04-20T15:07:55,04-20T15:20:40,4
372,04-20T15:37:56,04-20T15:42:32,0
373,04-21T00:09:20,04-21T03:17:55,0
375,04-21T14:00:02,04-22T13:33:00,9
377,04-21T14:07:04,04-21T14:17:17,1
378,04-21T14:28:45,04-21T14:53:04,2
379,04-21T14:53:48,04-21T15:04:14,1
380,04-21T15:02:26,04-22T13:38:10,2
381,04-21T15:16:41,04-21T17:11:48,0
383,04-21T16:51:43,04-22T13:37:41,0
384,04-21T17:12:02,04-21T17:30:34,0
385,04-22T06:34:28,04-22T13:55:30,2
386,04-22T13:43:48,04-22T13:56:02,0
387,04-22T13:45:07,04-22T13:46:12,0
388,04-22T13:54:17,04-22T13:54:44,0
389,04-22T13:55:01,04-22T15:34:57,5
